process,process,process,process,process,process,process,process,process,process,process,process,process,process,sensor,sensor,sensor,sensor,sensor,sensor,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defect_flag
velocity_1,velocity_2,velocity_3,high_velocity,cylinder_pressure,rapid_rise_time,biscuit_thickness,clamping_force,cycle_time,pressure_rise_time,casting_pressure,spray_time,spray_1_time,spray_2_time,melting_furnace_temp,air_pressure,coolant_temp,coolant_pressure,factory_temp,factory_humidity,short_shot_1,bubble_1,blow_hole_1,stain_1,dent_1,crack_1,scratch_1,buring_mark_1,short_shot_2,blow_hole_2,dent_2,crack_2,is_defect
0.154,0.172,0.203,2.688,265,0.012,19,355,33.8,0.04,595,10.0,2.0,2.7,637.8,6.2,27.1,2.69,36.8,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.17,0.202,2.71,265,0.011,18,355,33.7,0.04,596,10.0,2.0,2.7,637.8,6.2,27.1,2.69,36.8,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.168,0.202,2.703,264,0.012,19,355,33.8,0.042,595,10.0,2.0,2.7,637.2,6.2,27.1,2.7,36.8,46.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.168,0.192,2.709,264,0.014,18,354,33.8,0.041,595,10.0,2.0,2.7,637.2,6.2,27.1,2.7,36.8,46.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.172,0.2,2.704,264,0.014,19,355,33.8,0.041,595,10.0,2.0,2.7,636.5,6.1,27.1,2.69,36.9,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.148,0.162,0.198,2.682,265,0.011,17,357,33.8,0.04,595,10.0,2.0,2.7,636.5,6.1,27.1,2.69,36.9,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.17,0.203,2.697,265,0.012,17,355,33.8,0.04,595,10.0,2.0,2.7,636.4,6.1,27.1,2.69,37.0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.164,0.206,2.696,265,0.011,17,355,33.8,0.04,595,10.0,2.0,2.7,636.3,6.0,27.1,2.71,37.0,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.144,0.172,0.206,2.666,265,0.012,18,355,33.8,0.042,595,10.0,2.0,2.7,636.3,6.0,27.1,2.71,37.0,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.172,0.195,2.696,265,0.011,17,355,33.9,0.041,595,10.0,2.0,2.7,636.2,5.9,27.1,2.7,37.0,45.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154,0.168,0.204,2.707,265,0.009,17,355,33.9,0.04,595,10.0,2.0,2.7,636.2,5.9,27.1,2.7,37.0,45.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.166,0.202,2.712,265,0.014,18,355,33.8,0.04,595,10.0,2.0,2.7,636.4,5.9,27.2,2.71,36.9,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.176,0.204,2.688,265,0.011,17,354,33.9,0.04,595,10.0,2.0,2.7,636.4,5.9,27.2,2.71,36.9,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.155,0.162,0.2,2.712,265,0.011,17,354,33.8,0.042,596,10.0,2.0,2.7,636.4,5.9,27.2,2.69,36.9,45.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.172,0.202,2.686,264,0.014,17,355,33.8,0.042,595,10.0,2.0,2.7,636.6,5.8,27.2,2.67,36.8,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.164,0.208,2.704,265,0.012,17,354,33.8,0.039,595,10.0,2.0,2.7,636.6,5.8,27.2,2.67,36.8,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.164,0.208,2.704,265,0.012,17,354,33.8,0.039,595,10.0,2.0,2.7,636.5,5.8,27.1,2.69,36.7,46.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.149,0.174,0.204,2.691,264,0.012,17,355,33.8,0.04,595,10.0,2.0,2.7,636.5,5.8,27.1,2.69,36.7,46.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.168,0.211,2.7,265,0.012,18,352,33.9,0.041,595,10.0,2.0,2.7,636.4,5.8,27.1,2.69,36.7,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.174,0.202,2.685,265,0.012,17,355,33.8,0.04,595,10.0,2.0,2.7,636.4,5.8,27.1,2.69,36.7,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.174,0.202,2.713,265,0.012,17,354,33.9,0.039,596,10.0,2.0,2.7,636.4,5.8,27.2,2.69,36.6,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.164,0.198,2.709,265,0.013,17,354,33.8,0.042,596,10.0,2.0,2.7,636.2,5.8,27.2,2.7,36.5,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.162,0.206,2.719,264,0.012,17,354,33.8,0.042,595,10.0,2.0,2.7,636.2,5.8,27.2,2.7,36.5,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.162,0.206,2.719,264,0.012,17,354,33.8,0.042,595,10.0,2.0,2.7,636.3,5.9,27.2,2.7,36.5,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.171,0.2,2.716,265,0.012,18,361,33.8,0.04,596,10.0,2.0,2.7,636.3,5.9,27.2,2.7,36.5,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.162,0.198,2.703,264,0.011,16,361,33.8,0.039,594,10.0,2.0,2.7,636.4,5.9,27.2,2.69,36.5,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.163,0.2,2.709,265,0.012,18,350,33.8,0.042,595,10.0,2.0,2.7,636.9,5.9,27.2,2.7,36.5,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.168,0.203,2.682,264,0.012,18,350,33.8,0.04,595,10.0,2.0,2.7,636.9,5.9,27.2,2.7,36.5,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.172,0.206,2.678,265,0.014,18,357,33.8,0.041,595,10.0,2.0,2.7,637.5,5.9,27.2,2.7,36.5,47.1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.164,0.195,2.715,265,0.012,16,357,33.8,0.042,595,10.0,2.0,2.7,637.4,5.9,27.2,2.71,36.6,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154,0.166,0.192,2.694,265,0.011,16,355,33.8,0.04,595,10.0,2.0,2.7,637.4,5.9,27.2,2.71,36.6,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154,0.166,0.192,2.694,265,0.011,16,355,33.8,0.04,595,10.0,2.0,2.7,637.8,5.9,27.2,2.72,36.7,47.1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.141,0.165,0.205,2.71,264,0.012,18,355,33.8,0.04,594,10.0,2.0,2.7,637.8,5.9,27.2,2.72,36.7,47.1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.154,0.164,0.206,2.693,265,0.011,17,355,33.8,0.04,596,10.0,2.0,2.7,637.8,5.9,27.2,2.69,36.8,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.147,0.164,0.202,2.702,265,0.012,17,354,33.8,0.039,595,10.0,2.0,2.7,637.8,5.9,27.2,2.69,36.8,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157,0.162,0.208,2.689,265,0.011,17,355,33.8,0.04,596,10.0,2.0,2.7,637.6,5.8,27.2,2.71,36.8,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.146,0.166,0.19,2.677,265,0.012,18,355,33.8,0.039,595,10.0,2.0,2.7,637.3,5.8,27.2,2.69,36.8,46.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.17,0.205,2.708,265,0.012,19,355,33.7,0.042,596,10.0,2.0,2.7,637.3,5.8,27.2,2.69,36.8,46.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.17,0.2,2.705,265,0.012,19,354,33.7,0.041,596,10.0,2.0,2.7,636.8,5.8,27.2,2.71,36.7,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.164,0.206,2.717,265,0.011,20,355,33.7,0.04,596,10.0,2.0,2.7,636.8,5.8,27.2,2.71,36.7,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.198,2.709,265,0.012,18,355,33.6,0.042,596,10.0,2.0,2.7,636.2,5.7,27.2,2.69,36.7,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.164,0.198,2.694,265,0.011,18,355,33.8,0.04,595,10.0,2.0,2.7,636.2,5.7,27.2,2.69,36.7,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.146,0.172,0.202,2.729,265,0.012,19,355,33.7,0.04,595,10.0,2.0,2.7,635.3,5.7,27.2,2.71,36.6,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.173,0.197,2.682,265,0.012,20,354,33.8,0.04,596,10.0,2.0,2.7,635.3,5.7,27.2,2.71,36.6,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.149,0.176,0.206,2.714,264,0.014,16,384,34.1,0.039,594,10.1,2.0,2.7,661.5,6.7,27.4,2.72,36.0,50.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.17,0.204,2.706,265,0.011,16,386,34.1,0.04,595,10.1,2.0,2.7,662.0,6.7,27.4,2.7,36.0,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.166,0.213,2.719,265,0.012,17,388,34.0,0.039,597,10.1,2.0,2.7,662.0,6.7,27.4,2.7,36.0,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.171,0.206,2.718,265,0.012,18,375,34.1,0.042,596,10.1,2.0,2.7,662.9,6.7,27.4,2.7,36.0,50.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.162,0.208,2.718,265,0.012,18,370,34.0,0.041,596,10.1,2.0,2.7,662.9,6.7,27.4,2.7,36.0,50.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154,0.172,0.2,2.69,264,0.012,17,361,34.0,0.042,595,10.1,2.0,2.7,663.8,6.7,27.4,2.7,36.0,51.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.164,0.21,2.701,265,0.012,17,352,33.9,0.04,596,10.1,2.0,2.7,663.8,6.7,27.4,2.7,36.0,51.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154,0.168,0.194,2.675,265,0.012,17,354,33.9,0.04,596,10.1,2.0,2.7,664.5,6.6,27.4,2.72,36.0,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.162,0.202,2.717,265,0.011,18,355,33.9,0.042,596,10.1,2.0,2.7,665.4,6.6,27.4,2.71,36.0,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157,0.171,0.205,2.701,265,0.012,16,357,33.9,0.04,596,10.1,2.0,2.7,665.4,6.6,27.4,2.71,36.0,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.17,0.212,2.719,263,0.013,13,361,33.9,0.041,591,10.1,2.0,2.7,666.0,6.6,27.4,2.69,36.0,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.17,0.206,2.73,264,0.011,16,361,34.0,0.04,595,10.1,2.0,2.7,666.4,6.5,27.4,2.72,36.0,51.8,0,0,1,0,0,0,0,0,0,0,0,0,1
0.15,0.17,0.21,2.701,264,0.012,17,359,33.9,0.039,594,10.1,2.0,2.7,666.4,6.5,27.4,2.72,36.0,51.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.142,0.178,0.204,2.717,264,0.012,18,352,34.0,0.041,595,10.1,2.0,2.7,667.1,6.5,27.4,2.71,36.0,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157,0.165,0.196,2.709,265,0.012,17,352,34.0,0.04,596,10.1,2.0,2.7,667.7,6.5,27.5,2.7,36.0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.173,0.212,2.709,264,0.012,16,361,34.0,0.04,594,10.1,2.0,2.7,668.1,6.5,27.4,2.7,36.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157,0.174,0.204,2.725,264,0.012,16,363,34.0,0.042,593,10.1,2.0,2.7,668.1,6.5,27.4,2.7,36.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.146,0.165,0.206,2.717,264,0.013,15,354,34.0,0.042,594,10.1,2.0,2.7,668.5,6.6,27.4,2.69,36.1,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.174,0.21,2.686,264,0.011,16,357,34.0,0.04,595,10.1,2.0,2.7,668.8,6.6,27.4,2.71,36.1,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157,0.164,0.204,2.713,264,0.014,16,359,34.0,0.041,595,10.1,2.0,2.7,669.3,6.7,27.4,2.7,36.1,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.155,0.166,0.21,2.71,264,0.012,15,359,34.0,0.042,594,10.1,2.0,2.7,669.3,6.7,27.4,2.7,36.1,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157,0.168,0.206,2.687,265,0.012,15,361,34.0,0.04,596,10.1,2.0,2.7,669.5,6.8,27.5,2.71,36.0,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.194,2.724,265,0.011,14,357,34.0,0.039,596,10.1,2.0,2.7,669.5,6.8,27.5,2.71,36.0,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.168,0.208,2.715,265,0.011,15,355,34.0,0.04,596,10.1,2.0,2.7,669.5,6.9,27.5,2.7,36.0,52.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.163,0.21,2.715,265,0.013,17,357,34.1,0.04,595,10.1,2.0,2.7,669.6,6.9,27.5,2.71,36.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.17,0.2,2.696,264,0.012,14,355,34.0,0.041,595,10.1,2.0,2.7,669.6,6.9,27.5,2.71,36.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154,0.174,0.197,2.724,265,0.012,15,355,34.0,0.037,596,10.1,2.0,2.7,669.6,6.9,27.5,2.7,36.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.174,0.2,2.689,264,0.012,14,357,34.0,0.04,594,10.1,2.0,2.7,670.0,6.9,27.5,2.7,36.0,52.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.162,0.208,2.684,264,0.012,15,359,34.0,0.039,595,10.1,2.0,2.7,670.0,6.9,27.5,2.7,36.0,52.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.166,0.208,2.7,264,0.012,14,359,34.0,0.04,595,10.1,2.0,2.7,670.1,6.9,27.5,2.69,36.0,52.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.171,0.214,2.698,264,0.011,15,359,34.0,0.04,595,10.1,2.0,2.7,670.1,6.9,27.5,2.69,36.0,52.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.166,0.204,2.698,265,0.012,17,350,34.0,0.039,595,10.1,2.0,2.7,670.5,6.9,27.5,2.7,36.0,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.148,0.17,0.212,2.688,265,0.012,17,354,34.0,0.04,596,10.1,2.0,2.7,670.6,6.9,27.5,2.68,36.0,52.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.172,0.208,2.722,265,0.012,17,366,34.0,0.04,595,10.1,2.0,2.7,671.1,6.9,27.5,2.69,36.0,53.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.162,0.21,2.655,265,0.011,16,366,34.0,0.038,595,10.1,2.0,2.7,671.1,6.9,27.5,2.69,36.0,53.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.166,0.202,2.681,265,0.012,17,366,34.0,0.04,596,10.1,2.0,2.7,671.2,6.9,27.5,2.73,36.0,53.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.172,0.21,2.724,264,0.011,17,361,34.0,0.042,595,10.1,2.0,2.7,671.2,6.9,27.5,2.73,36.0,53.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.17,0.206,2.723,264,0.012,16,359,34.0,0.04,595,10.1,2.0,2.7,671.6,6.9,27.5,2.69,36.0,53.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.168,0.192,2.704,262,0.009,12,363,34.0,0.042,590,10.1,2.0,2.7,671.6,6.9,27.5,2.69,36.0,53.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.166,0.204,2.673,262,0.01,11,355,34.0,0.044,588,10.1,2.0,2.7,671.6,6.9,27.5,2.7,36.0,54.1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.166,0.204,2.673,262,0.01,11,355,34.0,0.044,588,10.1,2.0,2.7,672.0,6.9,27.5,2.69,36.0,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.162,0.202,2.679,264,0.011,14,354,34.0,0.04,594,10.1,2.0,2.7,672.0,6.9,27.5,2.69,36.0,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.164,0.206,2.708,265,0.012,14,354,34.0,0.038,595,10.1,2.0,2.7,672.0,6.9,27.5,2.71,36.0,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.164,0.187,2.719,265,0.012,15,363,34.0,0.04,595,10.1,2.0,2.7,672.0,6.9,27.5,2.71,36.0,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.164,0.197,2.717,264,0.012,15,363,34.0,0.04,595,10.1,2.0,2.7,672.0,6.9,27.5,2.7,35.9,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.17,0.213,2.718,265,0.012,15,363,34.0,0.04,596,10.1,2.0,2.7,672.0,6.9,27.5,2.7,35.9,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.168,0.202,2.679,265,0.012,15,354,34.0,0.04,596,10.1,2.0,2.7,671.6,6.9,27.5,2.71,35.9,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.146,0.168,0.2,2.699,264,0.012,15,355,34.0,0.04,595,10.1,2.0,2.7,671.0,6.9,27.5,2.69,36.0,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154,0.168,0.2,2.716,264,0.012,15,357,34.0,0.039,595,10.1,2.0,2.7,671.0,6.9,27.5,2.69,36.0,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.164,0.21,2.689,264,0.014,14,357,34.0,0.039,594,10.1,2.0,2.7,670.4,6.9,27.5,2.71,36.0,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.162,0.212,2.684,264,0.012,13,357,34.0,0.038,595,10.1,2.0,2.7,670.4,6.9,27.5,2.71,36.0,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154,0.172,0.196,2.678,264,0.012,16,355,33.9,0.037,595,10.1,2.0,2.7,669.7,6.9,27.6,2.67,36.0,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.164,0.204,2.715,264,0.012,15,355,34.0,0.04,595,10.1,2.0,2.7,669.7,6.9,27.6,2.67,36.0,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.162,0.21,2.706,265,0.012,16,355,34.0,0.039,595,10.1,2.0,2.7,669.0,6.9,27.5,2.68,36.0,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.17,0.212,2.693,264,0.012,14,357,34.0,0.04,594,10.1,2.0,2.7,668.6,6.9,27.6,2.67,36.0,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.171,0.214,2.678,265,0.012,15,359,34.0,0.04,596,10.1,2.0,2.7,668.4,7.0,27.6,2.71,35.9,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.168,0.198,2.681,264,0.012,15,363,34.0,0.039,594,10.1,2.0,2.7,668.4,7.0,27.6,2.71,35.9,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.162,0.162,0.212,2.698,265,0.011,15,363,34.0,0.037,595,10.1,2.0,2.7,668.4,6.9,27.6,2.69,35.9,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.166,0.206,2.692,263,0.01,18,363,34.0,0.044,592,10.1,2.0,2.7,668.4,6.9,27.6,2.69,35.9,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.166,0.206,2.692,263,0.01,18,363,34.0,0.044,592,10.1,2.0,2.7,668.5,7.0,27.5,2.71,35.9,53.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.17,0.204,2.683,264,0.012,17,361,34.0,0.04,594,10.1,2.0,2.7,668.5,7.0,27.5,2.71,35.9,53.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.176,0.208,2.682,265,0.012,15,361,33.9,0.038,596,10.1,2.0,2.7,668.5,6.9,27.5,2.7,35.9,53.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.176,0.208,2.682,265,0.012,15,361,33.9,0.038,596,10.1,2.0,2.7,668.6,7.0,27.6,2.69,35.9,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.155,0.17,0.206,2.683,265,0.011,16,361,34.0,0.042,595,10.1,2.0,2.7,668.6,7.0,27.6,2.69,35.9,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.165,0.202,2.671,264,0.009,17,361,34.0,0.041,595,10.1,2.0,2.7,668.6,6.9,27.6,2.69,35.8,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.164,0.208,2.693,265,0.011,16,363,34.0,0.04,596,10.1,2.0,2.7,668.6,6.9,27.6,2.69,35.8,53.6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.156,0.165,0.206,2.696,263,0.012,15,363,34.0,0.041,592,10.1,2.0,2.7,668.5,6.9,27.6,2.71,35.8,53.5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.155,0.171,0.206,2.679,263,0.01,13,363,34.0,0.044,593,10.1,2.0,2.7,668.5,6.9,27.6,2.71,35.8,53.5,0,0,1,0,0,0,0,0,0,1,1,0,1
0.158,0.17,0.202,2.717,265,0.012,16,363,34.1,0.04,595,10.1,2.0,2.7,668.6,6.9,27.6,2.7,35.8,53.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.163,0.208,2.714,265,0.012,16,363,34.1,0.04,596,10.1,2.0,2.7,668.7,6.9,27.5,2.7,35.8,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.174,0.212,2.72,265,0.012,16,363,34.1,0.038,596,10.1,2.0,2.7,668.7,6.9,27.5,2.7,35.8,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.164,0.2,2.713,265,0.012,17,363,34.1,0.04,595,10.1,2.0,2.7,669.3,6.9,27.5,2.69,35.8,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.142,0.158,0.205,2.72,265,0.011,17,364,34.1,0.037,596,10.1,2.0,2.7,669.3,6.9,27.5,2.69,35.8,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.144,0.162,0.208,2.677,265,0.011,17,364,34.1,0.04,596,10.1,2.0,2.7,669.4,6.9,27.6,2.71,35.7,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.162,0.166,0.208,2.716,265,0.012,17,366,34.1,0.04,596,10.1,2.0,2.7,669.4,6.9,27.6,2.71,35.7,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.172,0.206,2.696,265,0.01,17,364,34.0,0.04,596,10.1,2.0,2.7,669.8,7.0,27.6,2.7,35.7,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.164,0.206,2.694,265,0.012,18,364,34.0,0.04,596,10.1,2.0,2.7,670.4,6.9,27.5,2.71,35.6,53.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.17,0.202,2.691,265,0.011,18,364,34.0,0.04,595,10.1,2.0,2.7,670.4,6.9,27.5,2.71,35.6,53.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.168,0.206,2.706,265,0.012,19,366,34.0,0.041,595,10.1,2.0,2.7,670.8,6.9,27.5,2.67,35.5,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.146,0.168,0.204,2.715,265,0.014,17,366,34.0,0.04,596,10.1,2.0,2.7,670.8,6.9,27.5,2.67,35.5,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.149,0.16,0.206,2.682,265,0.012,19,366,33.9,0.04,596,10.1,2.0,2.7,671.2,6.9,27.5,2.68,35.5,53.9,0,0,0,0,0,0,1,0,0,0,0,0,1
0.16,0.162,0.206,2.668,265,0.013,18,368,33.9,0.04,595,10.1,2.0,2.7,671.2,6.9,27.5,2.68,35.5,53.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154,0.17,0.206,2.703,265,0.012,18,368,34.0,0.04,595,10.1,2.0,2.7,671.4,6.9,27.6,2.7,35.5,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157,0.16,0.204,2.719,265,0.011,17,368,33.9,0.04,597,10.1,2.0,2.7,671.5,7.0,27.6,2.7,35.5,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157,0.171,0.204,2.705,265,0.012,17,368,33.9,0.04,597,10.1,2.0,2.7,671.5,7.0,27.6,2.7,35.5,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.155,0.168,0.204,2.705,264,0.012,17,368,34.0,0.04,595,10.1,2.0,2.7,670.8,6.9,27.5,2.69,35.5,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.17,0.208,2.697,264,0.012,19,368,34.0,0.04,595,10.1,2.0,2.7,670.8,6.9,27.5,2.69,35.5,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.142,0.173,0.205,2.692,265,0.012,16,368,33.9,0.04,596,10.1,2.0,2.7,670.4,6.9,27.6,2.7,35.5,55.1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.164,0.204,2.708,265,0.012,19,368,34.0,0.04,595,10.1,2.0,2.7,670.4,6.9,27.6,2.7,35.5,55.1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.162,0.165,0.208,2.686,265,0.011,19,368,33.9,0.04,597,10.1,2.0,2.7,669.5,7.0,27.6,2.71,35.5,55.7,0,0,0,0,0,0,0,0,0,1,0,0,1
0.16,0.172,0.216,2.704,265,0.012,18,370,33.9,0.042,595,10.1,2.0,2.7,669.0,6.9,27.6,2.69,35.4,55.9,0,0,0,0,0,0,0,0,0,0,0,0,1
0.16,0.172,0.216,2.704,265,0.012,18,370,33.9,0.042,595,10.1,2.0,2.7,669.0,6.9,27.6,2.69,35.4,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.162,0.198,2.698,265,0.012,18,370,33.9,0.041,595,10.1,2.0,2.7,668.7,7.0,27.6,2.69,35.4,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.166,0.202,2.679,264,0.012,19,370,34.0,0.039,594,10.1,2.0,2.7,668.7,7.0,27.6,2.69,35.4,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157,0.164,0.211,2.69,265,0.01,19,370,34.0,0.04,596,10.1,2.0,2.7,668.6,6.9,27.6,2.7,35.4,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0
