process_velocity_1,process_velocity_2,process_velocity_3,process_high_velocity,process_cylinder_pressure,process_rapid_rise_time,process_biscuit_thickness,process_clamping_force,process_cycle_time,process_pressure_rise_time,process_casting_pressure,process_spray_time,process_spray_1_time,process_spray_2_time,sensor_melting_furnace_temp,sensor_air_pressure,sensor_air_pressure_min,sensor_air_pressure_max,sensor_coolant_temp,sensor_coolant_temp_min,sensor_coolant_temp_max,sensor_coolant_pressure,sensor_factory_temp,sensor_factory_temp_min,sensor_factory_temp_max,sensor_factory_humidity,sensor_factory_humidity_min,sensor_factory_humidity_max
0.142,0.172,0.182,2.164,215,0.008,11,258,20.8,0.041,1039,7.9,0.7,0.8,688.3,6.7,3,9,26.3,10,50,2.71,34.3,18.0,22.0,54.6,18.0,22.0
0.144,0.168,0.178,2.102,218,0.008,10,258,20.9,0.044,1056,8.1,1.0,0.8,712.9,6.5,3,9,25.9,10,50,2.73,31.0,18.0,22.0,65.3,18.0,22.0
0.144,0.168,0.176,2.167,215,0.009,12,259,20.7,0.042,1039,8.0,1.0,0.8,684.6,6.3,3,9,27.2,10,50,2.7,36.3,18.0,22.0,47.0,18.0,22.0
0.144,0.168,0.18,2.139,217,0.008,11,257,20.8,0.044,1052,8.1,1.0,0.8,706.0,6.6,3,9,26.7,10,50,2.69,35.2,18.0,22.0,50.2,18.0,22.0
0.142,0.17,0.181,2.11,239,0.008,15,255,22.7,0.037,1159,9.7,1.2,0.7,729.8,5.2,3,9,27.1,10,50,2.63,31.6,18.0,22.0,69.1,18.0,22.0
0.14,0.168,0.176,2.129,218,0.008,13,259,21.2,0.043,1056,8.3,0.8,0.8,692.6,5.8,3,9,27.0,10,50,2.76,32.1,18.0,22.0,68.3,18.0,22.0
0.141,0.166,0.184,2.117,218,0.007,12,259,20.9,0.037,1053,8.3,0.7,0.7,704.0,5.6,3,9,26.5,10,50,2.63,34.9,18.0,22.0,58.1,18.0,22.0
0.144,0.166,0.18,2.133,215,0.008,12,258,21.3,0.043,1042,8.4,0.8,1.0,699.2,5.1,3,9,27.3,10,50,2.73,32.4,18.0,22.0,64.2,18.0,22.0
0.146,0.166,0.188,2.09,235,0.008,14,255,22.7,0.037,1136,9.8,1.2,0.7,687.0,7.0,3,9,27.3,10,50,2.63,32.6,18.0,22.0,67.1,18.0,22.0
0.142,0.168,0.176,2.135,218,0.008,12,258,20.9,0.044,1055,8.0,1.0,0.8,708.0,5.8,3,9,27.2,10,50,2.67,36.8,18.0,22.0,46.0,18.0,22.0
0.144,0.168,0.181,2.162,218,0.008,12,257,20.9,0.043,1055,8.0,1.0,0.8,692.3,6.4,3,9,27.3,10,50,2.7,36.6,18.0,22.0,46.7,18.0,22.0
0.139,0.168,0.176,2.163,218,0.008,11,258,21.0,0.041,1053,8.0,1.0,0.8,707.0,5.9,3,9,26.4,10,50,2.71,34.4,18.0,22.0,52.3,18.0,22.0
0.144,0.17,0.188,2.134,218,0.008,12,254,20.7,0.044,1053,7.9,0.8,0.8,682.7,6.8,3,9,26.6,10,50,2.75,32.2,18.0,22.0,62.5,18.0,22.0
0.144,0.168,0.188,2.119,214,0.009,12,258,20.9,0.035,1037,8.0,1.0,0.8,695.8,6.2,3,9,27.1,10,50,2.69,36.5,18.0,22.0,46.7,18.0,22.0
0.144,0.168,0.186,2.119,218,0.007,12,259,20.9,0.042,1053,8.0,1.0,0.8,708.0,5.9,3,9,26.4,10,50,2.71,34.3,18.0,22.0,52.4,18.0,22.0
0.142,0.17,0.185,2.112,218,0.008,11,257,20.6,0.044,1054,7.9,0.8,0.8,711.9,6.2,3,9,26.4,10,50,2.75,31.9,18.0,22.0,63.5,18.0,22.0
0.144,0.168,0.178,2.143,215,0.008,13,257,21.3,0.044,1041,8.3,0.8,0.8,687.7,5.7,3,9,27.1,10,50,2.75,32.1,18.0,22.0,66.0,18.0,22.0
0.154,0.19,0.203,2.248,239,0.009,13,254,20.5,0.043,1156,7.7,1.2,0.7,708.3,6.7,3,9,28.1,10,50,2.62,32.3,18.0,22.0,69.4,18.0,22.0
0.14,0.17,0.18,2.128,218,0.01,11,254,20.7,0.044,1054,7.8,0.7,0.8,713.4,6.1,3,9,26.2,10,50,2.71,33.9,18.0,22.0,56.0,18.0,22.0
0.142,0.166,0.184,2.112,218,0.009,12,258,20.7,0.035,1054,8.0,1.0,0.8,685.0,6.3,3,9,27.2,10,50,2.7,36.4,18.0,22.0,46.8,18.0,22.0
0.146,0.17,0.179,2.144,214,0.008,12,258,20.6,0.041,1036,7.9,0.8,0.8,690.1,6.4,3,9,26.2,10,50,2.74,31.3,18.0,22.0,65.6,18.0,22.0
0.144,0.168,0.181,2.155,215,0.007,12,257,20.9,0.043,1039,8.0,1.0,0.8,706.0,6.0,3,9,27.1,10,50,2.71,37.0,18.0,22.0,45.8,18.0,22.0
0.14,0.166,0.174,2.124,214,0.007,11,255,20.9,0.044,1038,8.1,1.0,0.8,705.0,6.6,3,9,26.7,10,50,2.71,35.2,18.0,22.0,51.8,18.0,22.0
0.142,0.17,0.185,2.158,215,0.007,11,257,20.8,0.044,1038,8.0,1.0,0.8,683.5,6.1,3,9,26.8,10,50,2.69,35.9,18.0,22.0,48.9,18.0,22.0
0.144,0.168,0.176,2.123,215,0.011,13,255,20.9,0.044,1039,8.0,1.0,0.8,703.0,6.9,3,9,27.4,10,50,2.71,36.0,18.0,22.0,50.2,18.0,22.0
0.142,0.17,0.184,2.164,215,0.008,12,257,21.0,0.041,1039,8.0,1.0,0.8,702.8,6.2,3,9,27.1,10,50,2.69,36.8,18.0,22.0,46.5,18.0,22.0
0.142,0.168,0.178,2.1,239,0.007,14,255,22.6,0.035,1158,9.8,1.2,0.7,697.0,7.0,3,9,27.4,10,50,2.61,32.9,18.0,22.0,64.9,18.0,22.0
0.144,0.168,0.176,2.118,214,0.007,11,254,20.7,0.044,1038,7.9,0.8,0.8,712.4,6.2,3,9,26.5,10,50,2.73,32.2,18.0,22.0,61.7,18.0,22.0
0.141,0.168,0.178,2.142,218,0.008,11,254,21.0,0.042,1054,8.4,0.8,0.8,710.0,6.7,3,9,26.8,10,50,2.72,32.0,18.0,22.0,63.0,18.0,22.0
0.146,0.168,0.182,2.143,218,0.008,11,257,20.8,0.043,1053,8.0,1.0,0.8,711.0,6.1,3,9,26.4,10,50,2.7,34.1,18.0,22.0,53.0,18.0,22.0
0.142,0.168,0.184,2.147,218,0.008,11,255,20.7,0.042,1053,7.8,0.7,0.8,719.7,6.5,3,9,26.1,10,50,2.7,33.0,18.0,22.0,57.8,18.0,22.0
0.144,0.168,0.178,2.162,215,0.007,11,257,20.8,0.043,1039,8.0,1.0,0.8,705.3,5.5,3,9,27.0,10,50,2.72,36.4,18.0,22.0,47.1,18.0,22.0
0.14,0.168,0.182,2.162,214,0.008,11,259,20.8,0.042,1037,8.0,1.0,0.8,708.9,5.9,3,9,27.2,10,50,2.69,36.5,18.0,22.0,47.0,18.0,22.0
0.144,0.168,0.18,2.11,217,0.008,11,257,20.7,0.044,1052,7.9,0.8,0.8,693.1,6.4,3,9,26.2,10,50,2.75,31.6,18.0,22.0,63.1,18.0,22.0
0.144,0.17,0.181,2.138,215,0.008,12,258,20.8,0.043,1039,8.0,1.0,0.8,708.9,5.8,3,9,27.1,10,50,2.69,36.7,18.0,22.0,46.4,18.0,22.0
0.144,0.165,0.187,2.134,218,0.007,12,255,21.2,0.044,1053,8.3,0.8,0.8,691.8,6.0,3,9,26.8,10,50,2.74,32.1,18.0,22.0,62.1,18.0,22.0
0.142,0.168,0.186,2.137,238,0.008,10,259,22.6,0.043,1152,9.8,1.2,0.7,696.3,5.3,3,9,26.5,10,50,2.62,35.0,18.0,22.0,57.9,18.0,22.0
0.144,0.168,0.174,2.09,235,0.008,12,259,22.7,0.035,1136,9.8,1.2,0.7,702.3,6.8,3,9,27.2,10,50,2.62,31.8,18.0,22.0,69.2,18.0,22.0
0.144,0.17,0.181,2.152,218,0.007,11,258,20.8,0.041,1055,8.1,1.0,0.8,701.3,6.2,3,9,26.4,10,50,2.7,34.4,18.0,22.0,52.8,18.0,22.0
0.14,0.168,0.178,2.163,218,0.009,12,258,20.7,0.042,1054,7.8,0.8,0.8,682.4,6.0,3,9,26.1,10,50,2.74,31.1,18.0,22.0,65.7,18.0,22.0
0.141,0.168,0.187,2.149,218,0.008,11,257,20.6,0.044,1055,7.9,1.0,0.8,676.0,5.3,3,9,27.0,10,50,2.69,36.6,18.0,22.0,45.8,18.0,22.0
0.142,0.168,0.184,2.15,218,0.008,13,257,21.3,0.043,1055,8.5,1.0,0.8,675.0,5.6,3,9,27.2,10,50,2.72,32.1,18.0,22.0,65.9,18.0,22.0
0.146,0.168,0.184,2.155,214,0.007,12,257,20.7,0.042,1036,7.9,0.8,0.8,686.2,6.5,3,9,26.1,10,50,2.74,31.2,18.0,22.0,65.7,18.0,22.0
0.142,0.166,0.178,2.117,218,0.009,13,258,21.2,0.042,1056,8.3,0.8,0.8,688.2,5.8,3,9,27.0,10,50,2.73,32.2,18.0,22.0,66.2,18.0,22.0
0.142,0.168,0.184,2.147,218,0.008,11,257,20.8,0.043,1053,8.0,1.0,0.8,703.0,6.1,3,9,27.3,10,50,2.73,36.6,18.0,22.0,46.3,18.0,22.0
0.144,0.168,0.186,2.137,214,0.007,12,255,20.7,0.044,1038,8.1,1.0,0.8,703.6,6.4,3,9,26.8,10,50,2.71,35.2,18.0,22.0,50.3,18.0,22.0
0.142,0.168,0.188,2.162,214,0.008,12,255,20.7,0.043,1038,8.1,1.0,0.8,702.1,6.2,3,9,26.8,10,50,2.69,35.9,18.0,22.0,48.4,18.0,22.0
0.144,0.17,0.186,2.161,214,0.008,12,258,20.7,0.041,1035,7.9,0.8,0.8,676.1,6.3,3,9,26.3,10,50,2.75,31.5,18.0,22.0,63.5,18.0,22.0
0.146,0.168,0.184,2.141,218,0.008,11,251,20.6,0.044,1054,7.9,0.7,0.8,695.0,6.6,3,9,26.3,10,50,2.71,34.6,18.0,22.0,53.6,18.0,22.0
0.142,0.17,0.186,2.164,217,0.009,11,254,21.2,0.042,1052,8.4,0.8,0.8,706.9,6.1,3,9,26.8,10,50,2.74,32.0,18.0,22.0,62.5,18.0,22.0
0.142,0.17,0.179,2.127,214,0.008,11,254,20.5,0.044,1038,7.8,0.7,0.8,712.1,6.0,3,9,26.2,10,50,2.69,33.9,18.0,22.0,55.7,18.0,22.0
0.144,0.166,0.182,2.108,217,0.01,11,254,20.8,0.042,1052,7.9,0.8,0.8,714.7,6.2,3,9,26.6,10,50,2.72,32.1,18.0,22.0,61.9,18.0,22.0
0.144,0.17,0.178,2.138,217,0.008,12,255,21.0,0.043,1052,8.0,1.0,0.8,701.5,6.2,3,9,27.1,10,50,2.68,36.7,18.0,22.0,46.6,18.0,22.0
0.138,0.168,0.178,2.163,215,0.008,11,257,20.8,0.041,1039,7.9,1.0,0.8,677.0,5.3,3,9,27.0,10,50,2.68,36.7,18.0,22.0,45.6,18.0,22.0
